sample_id,population,region,order,sample_index,K,cluster,ancestry
ST10L20,CP2,Central,1,1,K=2,Cluster1,0.99999
ST10L20,CP2,Central,1,1,K=2,Cluster2,1e-5
ST10L27,CP2,Central,2,2,K=2,Cluster1,0.99999
ST10L27,CP2,Central,2,2,K=2,Cluster2,1e-5
ST11L6,CP2,Central,3,3,K=2,Cluster1,0.99999
ST11L6,CP2,Central,3,3,K=2,Cluster2,1e-5
ST12L23,CP2,Central,4,4,K=2,Cluster1,0.99999
ST12L23,CP2,Central,4,4,K=2,Cluster2,1e-5
ST1L3,CP2,Central,6,6,K=2,Cluster1,0.99999
ST1L3,CP2,Central,6,6,K=2,Cluster2,1e-5
ST1L43,CP2,Central,7,7,K=2,Cluster1,0.99999
ST1L43,CP2,Central,7,7,K=2,Cluster2,1e-5
ST1L47,CP2,Central,8,8,K=2,Cluster1,0.99999
ST1L47,CP2,Central,8,8,K=2,Cluster2,1e-5
ST8L28,CP2,Central,9,9,K=2,Cluster1,0.99999
ST8L28,CP2,Central,9,9,K=2,Cluster2,1e-5
ST9L35,CP2,Central,10,10,K=2,Cluster1,0.99999
ST9L35,CP2,Central,10,10,K=2,Cluster2,1e-5
ST9L49,CP2,Central,11,11,K=2,Cluster1,0.99999
ST9L49,CP2,Central,11,11,K=2,Cluster2,1e-5
ST11L22,WL,Central,1,12,K=2,Cluster1,0.99999
ST11L22,WL,Central,1,12,K=2,Cluster2,1e-5
ST12L12,WL,Central,2,13,K=2,Cluster1,0.99999
ST12L12,WL,Central,2,13,K=2,Cluster2,1e-5
ST13L45,WL,Central,3,14,K=2,Cluster1,0.99999
ST13L45,WL,Central,3,14,K=2,Cluster2,1e-5
ST14L48,WL,Central,4,15,K=2,Cluster1,0.994917
ST14L48,WL,Central,4,15,K=2,Cluster2,0.005083
ST16L33,WL,Central,5,16,K=2,Cluster1,0.99999
ST16L33,WL,Central,5,16,K=2,Cluster2,1e-5
ST17L5,WL,Central,6,17,K=2,Cluster1,0.99999
ST17L5,WL,Central,6,17,K=2,Cluster2,1e-5
ST4L31,WL,Central,7,18,K=2,Cluster1,0.99999
ST4L31,WL,Central,7,18,K=2,Cluster2,1e-5
ST5L35,WL,Central,8,19,K=2,Cluster1,0.99999
ST5L35,WL,Central,8,19,K=2,Cluster2,1e-5
ST7L5,WL,Central,9,20,K=2,Cluster1,0.99999
ST7L5,WL,Central,9,20,K=2,Cluster2,1e-5
ST8L27,WL,Central,10,21,K=2,Cluster1,0.99999
ST8L27,WL,Central,10,21,K=2,Cluster2,1e-5
ST10L7,WL,Central,11,22,K=2,Cluster1,0.99999
ST10L7,WL,Central,11,22,K=2,Cluster2,1e-5
ST11L23,WL,Central,12,23,K=2,Cluster1,0.99999
ST11L23,WL,Central,12,23,K=2,Cluster2,1e-5
ST12L46,WL,Central,13,24,K=2,Cluster1,0.99999
ST12L46,WL,Central,13,24,K=2,Cluster2,1e-5
ST14L13,WL,Central,14,25,K=2,Cluster1,0.99999
ST14L13,WL,Central,14,25,K=2,Cluster2,1e-5
ST15L17,WL,Central,15,26,K=2,Cluster1,0.99999
ST15L17,WL,Central,15,26,K=2,Cluster2,1e-5
ST15L33,WL,Central,16,27,K=2,Cluster1,0.99999
ST15L33,WL,Central,16,27,K=2,Cluster2,1e-5
ST4L45,WL,Central,17,28,K=2,Cluster1,0.99999
ST4L45,WL,Central,17,28,K=2,Cluster2,1e-5
ST4L6,WL,Central,18,29,K=2,Cluster1,0.99999
ST4L6,WL,Central,18,29,K=2,Cluster2,1e-5
ST6L3,WL,Central,19,30,K=2,Cluster1,0.99999
ST6L3,WL,Central,19,30,K=2,Cluster2,1e-5
ST7L15,WL,Central,20,31,K=2,Cluster1,0.99999
