"","pop","cwd","ppt","pck","str","tmn","tmx","el","season_length"
"1","BH",27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.523252034898,511.4294422,6.7230255839822
"2","CP2",23033.6100845337,38523.0099671874,73666.9801073074,160683.830108643,1.04257453249156,13.4050135480033,2244.132886,5.35483870967742
"3","DPR",10010.4099748135,44452.2700602282,3364.68001177721,367741.783691406,7.69853659048374,20.2057994529807,1018.591893,4.49032258064516
"4","IH",17951.6099762917,32607.0099642463,69.729998588562,154618.337615967,8.57441735408978,22.2165582031415,454.1298385,7.64086021505376
"5","KC2",30660.2300491333,24248.250058433,148.96999835968,127471.812072754,8.58845527691711,20.9039565838449,947.928,7.44827586206897
"6","LV1",18171.5999898911,54076.7099559326,159001.600194931,108776.607727051,-1.60959350114289,11.1717072935134,2593.416641,4.70967741935484
"7","LV2",17743.8300485611,53065.5599083528,152474.580302238,252178.970031738,-1.4447967599936,11.3058265863153,2500.457178,4.74193548387097
"8","LV3",21003.1300163269,53634.7399466578,153277.359495163,147358.671234131,-1.58831978792723,11.1196747846235,2353.550747,4.74193548387097
"9","LVTR",18961.0999975204,55907.7400554456,163310.009928703,89835.1786499023,-1.78162603206468,11.0686449877171,2741.38982,4.70967741935484
"10","SHA",18546.3299541473,49187.8899094146,31163.7799859047,101994.531051636,4.61070460242126,17.8959620612747,1302.956416,5.64516129032258
"11","SQ1",27051.2300014496,28593.9999832232,19164.1599917412,55465.8595275879,3.53092139083034,15.6917073132223,1921.036585,5.4860956618465
"12","SQ3",22219.2300357819,31726.2800664715,45308.0001066923,49655.7106018066,1.125311662814,13.4905420163783,2372.447425,4.41935483870968
"13","TM2",20193.0599738359,34909.4100120608,0,335555.805236817,9.60544718781784,22.7766124704666,379.1526973,7.7989247311828
"14","WL1",21017.2600078583,37866.349978935,21361.5900307298,139004.070068359,4.27542005953326,17.2160975545402,1613.837245,6.24301075268817
"15","WL2",19734.910027504,38035.8299903143,51188.9498796463,92783.0391387939,2.45449864895646,14.5457994840979,2020.115818,4.96774193548387
"16","WL3",17889.4400148392,37769.5100186635,59302.899992466,174783.149871826,1.90143630882791,13.8157452747105,2137.762877,4.80645161290323
"17","WV",16064.9600021243,31120.8901213538,9663.06996250153,214346.978912354,5.00951219461656,19.391869882258,748.8570558,6.9378733572282
"18","YO1",19158.0299959183,33131.0599101894,42339.3702177405,163895.233428955,2.22271002452508,14.8313278693171,2140.505943,5.12903225806452
"19","YO10",21125.6300382614,26579.3500409164,74422.9801497459,99066.4312591553,-3.28303524431821,10.0563143713395,2968.302347,5.48387096774194
"20","YO11",20834.2600135803,24246.6000014134,65309.1998522561,100793.531387329,-2.84029810707562,10.5352032413166,2872.295032,5.64516129032258
