no	ID	tube_label	pop.x	site.x	order	pop_code	rid	mf	pop.y	lf_thickness	postvern_stem_diam	postvern_height	postvern_lngst_lf	postvern_no_lvs	postvern_no_brs	flrd_yn	died_during_drt	site.y	el	lat	long	cwd	ppt	pck	str	tmn	tmx	PC1	PC2	season_length	sla
100	BH-9-1	ST9L12	BH	BH	37	1	33	9	BH	0.16	0.89	1.9	1	12	1	0	0	BH	511.4294422	37.40985	-119.96458	27836.0099372864	17773.9100486152	0	130488.980545044	8.70943090610388	23.5232520348981	-2.93387448061084	1.72441414279779	6.7230255839822	NA
87	BH-7-1	ST2L22	BH	BH	51	1	9	7	BH	0.15	1.17	5	1.8	12	1	0	0	BH	511.4294422	37.40985	-119.96458	27836.0099372864	17773.9100486152	0	130488.980545044	8.70943090610388	23.5232520348981	-2.93387448061084	1.72441414279779	6.7230255839822	15.23888889
94	BH-13-1	ST2L21	BH	BH	65	1	8	13	BH	0.24	1.05	4	1.7	14	1	0	0	BH	511.4294422	37.40985	-119.96458	27836.0099372864	17773.9100486152	0	130488.980545044	8.70943090610388	23.5232520348981	-2.93387448061084	1.72441414279779	6.7230255839822	16.48275862
29	BH-3-1	ST11L49	BH	BH	81	1	46	3	BH	0.24	1.32	4.2	1.8	7	1	0	0	BH	511.4294422	37.40985	-119.96458	27836.0099372864	17773.9100486152	0	130488.980545044	8.70943090610388	23.5232520348981	-2.93387448061084	1.72441414279779	6.7230255839822	NA
16	BH-17-1	ST10L30	BH	BH	88	1	37	17	BH	0.25	0.86	2.6	1.1	15	1	0	0	BH	511.4294422	37.40985	-119.96458	27836.0099372864	17773.9100486152	0	130488.980545044	8.70943090610388	23.5232520348981	-2.93387448061084	1.72441414279779	6.7230255839822	NA
27	BH-11-1	ST10L12	BH	BH	108	1	35	11	BH	0.19	0.78	2.5	1.3	12	1	0	0	BH	511.4294422	37.40985	-119.96458	27836.0099372864	17773.9100486152	0	130488.980545044	8.70943090610388	23.5232520348981	-2.93387448061084	1.72441414279779	6.7230255839822	NA
31	BH-5-1	ST6L27	BH	BH	114	1	19	5	BH	0.33	1.22	9.1	2.4	16	1	0	0	BH	511.4294422	37.40985	-119.96458	27836.0099372864	17773.9100486152	0	130488.980545044	8.70943090610388	23.5232520348981	-2.93387448061084	1.72441414279779	6.7230255839822	18.2962963
62	BH-15-1	ST14L11	BH	BH	141	1	54	15	BH	0.19	1.03	3	2.4	12	1	0	0	BH	511.4294422	37.40985	-119.96458	27836.0099372864	17773.9100486152	0	130488.980545044	8.70943090610388	23.5232520348981	-2.93387448061084	1.72441414279779	6.7230255839822	NA
136	BH-1-1	ST8L3	BH	BH	163	1	27	1	BH	0.22	1.32	4.2	2.1	10	1	0	0	BH	511.4294422	37.40985	-119.96458	27836.0099372864	17773.9100486152	0	130488.980545044	8.70943090610388	23.5232520348981	-2.93387448061084	1.72441414279779	6.7230255839822	18.91428571
111	CP2-13-1	ST1L43	CP2	CP2	4	2	65	13	CP2	0.23	1.38	4.2	2.2	16	1	0	0	CP2	2244.132886	38.66169	-120.13065	23033.6100845337	38523.0099671874	73666.9801073074	160683.830108643	1.04257453249157	13.4050135480033	0.613459965437426	0.580997989412265	5.35483870967742	16.81176471
21	CP2-2-1	ST10L20	CP2	CP2	25	2	83	2	CP2	0.51	1.98	3.7	1.9	23	7	0	0	CP2	2244.132886	38.66169	-120.13065	23033.6100845337	38523.0099671874	73666.9801073074	160683.830108643	1.04257453249157	13.4050135480033	0.613459965437426	0.580997989412265	5.35483870967742	12.12
112	CP2-7-1	ST12L23	CP2	CP2	27	2	89	7	CP2	0.52	1.6	6.3	2.6	15	1	1	0	CP2	2244.132886	38.66169	-120.13065	23033.6100845337	38523.0099671874	73666.9801073074	160683.830108643	1.04257453249157	13.4050135480033	0.613459965437426	0.580997989412265	5.35483870967742	NA
