trait	pval	PC
lf_thickness	0.8893975489542935	1
lf_thickness	0.81528825931833	2
lf_thickness	0.4292162584012186	3
lf_thickness	0.8427318523223183	4
lf_thickness	0.7590006500509052	5
lf_thickness	0.22152491895658766	6
lf_thickness	0.8066537276410282	7
lf_thickness	0.6884260631610104	8
lf_thickness	0.9125980620029697	9
lf_thickness	0.9590242793564568	10
height	0.7795082319463016	1
height	0.7423037004516448	2
height	0.2985390062904673	3
height	0.4583077607916751	4
height	0.40721382324179445	5
height	0.16637702024474096	6
height	0.3831644223416464	7
height	0.26447712247270405	8
height	0.01585783104856668	9
height	0.9392151054569109	10
stem_diam	0.7675974828203074	1
stem_diam	0.5566015916919432	2
stem_diam	0.6486414129136135	3
stem_diam	0.9869408990838449	4
stem_diam	0.55440649901653	5
stem_diam	0.34092696005207357	6
stem_diam	0.8630687586785019	7
stem_diam	0.7208304763947853	8
stem_diam	0.30735802514992444	9
stem_diam	0.8834808434296842	10
no_lvs	0.5678072294846142	1
no_lvs	0.3834198941466308	2
no_lvs	0.7313278105442396	3
no_lvs	0.8512931867677193	4
no_lvs	0.8709507378243835	5
no_lvs	0.0945623182516148	6
no_lvs	0.6849268101858951	7
no_lvs	0.8152011589258975	8
no_lvs	0.5891997877196415	9
no_lvs	0.5999417891601085	10
lngst_lf	0.8626827737873269	1
lngst_lf	0.8678257278904141	2
lngst_lf	0.22348784329500332	3
lngst_lf	0.9268194469720646	4
lngst_lf	0.0337574787600803	5
lngst_lf	0.02480964149246407	6
lngst_lf	0.4198822282488971	7
lngst_lf	0.008050737573270484	8
lngst_lf	0.9532552445365647	9
lngst_lf	0.9339486695362268	10
sla	0.7617578794230693	1
sla	0.39673833593839025	2
sla	0.2952754910033091	3
sla	0.6094423778300512	4
sla	0.8173635870817075	5
sla	0.40917783948863007	6
sla	0.05298304652040908	7
sla	0.9810959273787614	8
sla	0.43178669788473145	9
sla	0.7607534202802182	10
