"","pop","mean_start","median_start","sd_start","min_start","max_start","mean_end","median_end","sd_end","min_end","max_end","season_length","el"
"1","BH",10.7931034482759,11,0.675029647223396,10,12,5.51612903225806,5,0.851311448763435,4,8,6.7230255839822,511.4294422
"2","IH",10.1333333333333,10,0.730296743340221,9,12,5.7741935483871,6,0.883541261792749,5,8,7.64086021505376,454.1298385
"3","KC2",10.551724137931,10,0.827483573274666,9,12,6,6,1.211060141639,3,8,7.44827586206897,947.928
"4","TM2",10.2333333333333,10,0.626062315579293,9,12,6.03225806451613,6,0.912281790082499,5,8,7.7989247311828,379.1526973
"5","CP2",5.29032258064516,5,1.18865605866729,1,7,10.6451612903226,12,3.24086806372176,1,12,5.35483870967742,2244.132886
"6","DPR",1.70967741935484,1,0.901611460556293,1,4,6.2,2.5,5.40565006558683,1,12,4.49032258064516,1018.591893
"7","LV1",6.38709677419355,6,0.760588340468031,5,8,11.0967741935484,11,0.396218686222429,10,12,4.70967741935484,2593.416641
"8","LV2",6.35483870967742,6,0.797846564061628,5,8,11.0967741935484,11,0.396218686222429,10,12,4.74193548387097,2500.457178
"9","LV3",6.35483870967742,6,0.797846564061628,5,8,11.0967741935484,11,0.396218686222429,10,12,4.74193548387097,2353.550747
"10","LVTR",6.38709677419355,6,0.760588340468031,5,8,11.0967741935484,11,0.396218686222429,10,12,4.70967741935484,2741.38982
"11","SHA",3.87096774193548,4,1.23131191509628,1,5,9.51612903225806,12,4.60341154465494,1,12,5.64516129032258,1302.956416
"12","SQ1",3.54838709677419,4,1.58826340547193,1,6,9.03448275862069,12,4.82909898887308,1,12,5.4860956618465,1921.036585
"13","SQ3",4.96774193548387,5,1.16858521206177,1,7,9.38709677419355,12,4.54369467397652,1,12,4.41935483870968,2372.447425
"14","WL1",3.29032258064516,4,1.55335225425737,1,5,9.53333333333333,12,4.4854810477679,1,12,6.24301075268817,1613.837245
"15","WL2",4.7741935483871,5,1.23043833434417,1,7,9.74193548387097,12,4.28927143724498,1,12,4.96774193548387,2020.115818
"16","WL3",4.90322580645161,5,1.24779375191248,1,7,9.70967741935484,12,4.27546136603678,1,12,4.80645161290323,2137.762877
"17","WV",2.58064516129032,3,1.20482899335375,1,4,9.51851851851852,12,4.64402320913145,1,12,6.9378733572282,748.8570558
"18","YO1",4.64516129032258,5,1.19856545077227,1,6,9.7741935483871,12,4.30278729367647,1,12,5.12903225806452,2140.505943
"19","YO10",5.87096774193548,6,0.7184212081071,5,7,11.3548387096774,11,0.48637345711392,11,12,5.48387096774194,2968.302347
"20","YO11",5.70967741935484,6,0.692509850091043,5,7,11.3548387096774,11,0.48637345711392,11,12,5.64516129032258,2872.295032
