pop,el,long,lat,site
TM2,379.1526973,-121.55072,39.59255,TM2
IH,454.1298385,-120.92114,39.09332,IH
BH,511.4294422,-119.96458,37.40985,BH
WV,748.8570558,-123.00364,40.74084,WV
KC2,947.928,-118.83542,36.82301,KC2
DPR,1018.591893,-120.81518,39.22846,DPR
SHA,1302.956416,-123.33894,40.40811,SHA
WL1,1613.837245,-120.2143,38.78608,WL
SQ1,1921.036585,-118.7764,36.56435,SQ
WL2,2020.115818,-120.25242,38.8263,WL
WL3,2137.762877,-120.23824,38.83528,WL
YO1,2140.505943,-119.62484,37.66374,YO
CP2,2244.132886,-120.13065,38.66169,CP2
LV3,2353.550747,-121.52311,40.4664,LV
SQ3,2372.447425,-118.84933,36.72109,SQ
LV2,2500.457178,-121.51487,40.46563,LV
LV1,2593.416641,-121.50486,40.47471,LV
LVTR,2741.38982,-121.50301,40.47923,LV
YO11,2872.295032,-119.23157,37.93844,YO
YO10,2968.302347,-119.25454,37.92097,YO
