Population	tube_label	sla
YO1	ST10L1	20.4375
WV	ST10L10	23.34666667
TM2	ST10L13	25.34285714
KC2	ST10L14	14.736
YO1	ST10L15	12.4
CP2	ST10L20	12.12
SQ3	ST10L26	18.09459459
CP2	ST10L27	12.01685393
KC2	ST10L28	8.554166667
WL2	ST10L7	21.7037037
YO1	ST10L9	14.09821429
WL2	ST11L23	13.35454545
KC2	ST11L30X1	9.155688623
KC2	ST11L30X2	9.155688623
YO10	ST11L34	11.15853659
LVTR	ST11L35	12.84782609
TM2	ST11L37	28.70833333
CP2	ST11L6	12.31952663
SQ1	ST12L11	12.56395349
YO11	ST12L22	12.04761905
LVTR	ST12L25	14.51515152
WV	ST12L30	13.9084507
LV3	ST12L36	27.4
WL3	ST12L42	20.86813187
WL2	ST12L46	12.52475248
YO11	ST13L16	6.426900585
TM2	ST13L4	12.19130435
YO1	ST13L40	17.97619048
LVTR	ST13L43	20.09090909
LV3	ST13L9	13.10752688
TM2	ST14L10	27.37837838
LVTR	ST14L16	12.32098765
YO10	ST14L28	16.61538462
SQ1	ST14L36	12.48387097
TM2	ST14L40	26.06976744
YO10	ST14L45	14.71875
YO11	ST15L18	12.02857143
DPR	ST15L21	13.61073826
TM2	ST15L31	16.96190476
WL2	ST15L33	18.25287356
WV	ST15L36	14.98148148
SHA	ST15L50	18.53488372
YO1	ST16L10	5.617346939
SHA	ST16L50	24.1875
IH	ST16L9	11
SHA	ST17L14	16.11340206
SHA	ST17L20	21.4
DPR	ST1L11	15.9137931
KC2	ST1L25	7.698453608
LV2	ST1L27	22.17647059
CP2	ST1L3	19.28225806
LV3	ST1L32	12.20472441
YO11	ST1L36	12.11340206
YO10	ST1L42	13.13095238
CP2	ST1L43	16.81176471
SHA	ST1L50	31.42105263
LV3	ST2L18	15.71052632
BH	ST2L21	16.48275862
BH	ST2L22	15.23888889
SQ3	ST2L47	19.77868852
YO11	ST3L18	15.37313433
LVTR	ST3L29	14.64179104
LV2	ST3L3	16.76056338
WV	ST3L47	18.94545455
LV3	ST3L8	14.9338843
YO11	ST4L14	7.436507937
LV2	ST4L25	11.86554622
LV1	ST4L36	12.6744186
KC2	ST4L39	8.767195767
LVTR	ST4L4	13.39705882
IH	ST4L44	5.562111801
WL2	ST4L45	4.550724638
LVTR	ST4L48	14.38461538
WL2	ST4L6	17.33823529
LV3	ST4L9	18.57142857
LV1	ST5L19	11.22105263
SQ3	ST5L22	21.40714286
YO11	ST5L2D5	14.90804598
YO10	ST5L34	23.77272727
WL1	ST5L35	15.5620915
IH	ST5L6	5.956521739
LV2	ST6L12	15.94029851
LV2	ST6L16	17.21666667
LV1	ST6L2	12.16949153
SQ3	ST6L20	15.1125
BH	ST6L27	18.2962963
KC2	ST6L4	10.65151515
SQ3	ST6L41	27.05555556
LV2	ST6L44	19.05940594
WL3	ST6L47	17.77922078
TM2	ST7L14	20.57142857
SQ3	ST7L25	16.51470588
KC2	ST7L40	9.017605634
DPR	ST8L17	14.16504854
IH	ST8L20	16.70422535
WL1	ST8L27	12.98039216
CP2	ST8L28	14.94545455
DPR	ST8L29	15.85483871
BH	ST8L3	18.91428571
WV	ST8L36	17.94680851
LV2	ST8L4	14.79220779
LV2	ST8L44	17.6779661
WL2	ST9L14	17.44117647
WV	ST9L2	21.57281553
LV1	ST9L24	14.50537634
CP2	ST9L35	11.32520325
SQ3	ST9L4	19.15625
LV2	ST9L44	13.48888889
SQ3	ST9L47	17.36633663
WL3	ST9L5	16.3015873
TM2	ST9L6	22.33783784
