Population	tube_label	no	ID	pop.x	site.x	order	pop_code	rid	mf	pop.y	lf_thickness	postvern_stem_diam	postvern_height	postvern_lngst_lf	postvern_no_lvs	postvern_no_brs	flrd_yn	died_during_drt	site.y	el	lat	long	cwd	ppt	pck	str	tmn	tmx	PC1	PC2	season_length	sla
YO1	ST10L1	26	YO1-3-1	YO1	YO	77	18	733	3	YO1	0.28	1.79	4.1	1.3	75	3	0	1	YO	2140.505943	37.66374	-119.62484	19158.0299959183	33131.0599101894	42339.3702177405	163895.233428955	2.22271002452508	14.8313278693171	-0.0396204206786582	0.085707802567274	5.12903225806452	20.4375
WV	ST10L10	20	WV-5-2	WV	WV	167	17	707	5	WV	0.28	1.55	5.1	1.5	12	1	0	0	WV	748.8570558	40.74084	-123.00364	16064.9600021243	31120.8901213538	9663.06996250153	214346.978912354	5.00951219461656	19.391869882258	-1.26543848423332	-0.890655392145958	6.9378733572282	23.34666667
BH	ST10L12	27	BH-11-1	BH	BH	108	1	35	11	BH	0.19	0.78	2.5	1.3	12	1	0	0	BH	511.4294422	37.40985	-119.96458	27836.0099372864	17773.9100486152	0	130488.980545044	8.70943090610388	23.5232520348981	-2.93387448061084	1.72441414279779	6.7230255839822	NA
TM2	ST10L13	158	TM2-10-1	TM2	TM2	187	13	500	10	TM2	0.47	1.16	10.5	10.7	11	1	1	1	TM2	379.1526973	39.59255	-121.55072	20193.0599738359	34909.4100120608	0	335555.805236817	9.60544718781784	22.7766124704666	-2.55604021249791	-1.54549876603178	7.7989247311828	25.34285714
KC2	ST10L14	97	KC2-11-2	KC2	KC2	75	5	206	11	KC2	0.28	1.5	4.4	3.2	9	1	0	0	KC2	947.928	36.82301	-118.83542	30660.2300491333	24248.250058433	148.96999835968	127471.812072754	8.58845527691711	20.9039565838449	-2.46929323827579	2.02357658003781	7.44827586206897	14.736
YO1	ST10L15	84	YO1-13-1	YO1	YO	149	18	735	13	YO1	0.36	1.89	6.1	1.4	49	2	1	0	YO	2140.505943	37.66374	-119.62484	19158.0299959183	33131.0599101894	42339.3702177405	163895.233428955	2.22271002452508	14.8313278693171	-0.0396204206786582	0.085707802567274	5.12903225806452	12.4
CP2	ST10L20	21	CP2-2-1	CP2	CP2	25	2	83	2	CP2	0.51	1.98	3.7	1.9	23	7	0	0	CP2	2244.132886	38.66169	-120.13065	23033.6100845337	38523.0099671874	73666.9801073074	160683.830108643	1.04257453249157	13.4050135480033	0.613459965437426	0.580997989412265	5.35483870967742	12.12
LVTR	ST10L22	68	LVTR1-10-2	LVTR	LV	161	9	334	10	LVTR	0.5	1.29	5	1.7	12	1	1	0	LV	2741.38982	40.47923	-121.50301	18961.0999975204	55907.7400554456	163310.009928703	89835.1786499023	-1.78162603206468	11.0686449877171	2.89464263386527	0.0802162711958168	4.70967741935484	NA
SQ3	ST10L26	15	SQ3-1-1	SQ3	SQ	155	12	466	1	SQ3	0.25	1.77	5.7	2	14	1	1	1	SQ	2372.447425	36.72109	-118.84933	22219.2300357819	31726.2800664715	45308.0001066923	49655.7106018067	1.125311662814	13.4905420163783	0.377368783153491	1.52217645490411	4.41935483870968	18.09459459
CP2	ST10L27	24	CP2-9-1	CP2	CP2	122	2	84	9	CP2	0.26	1.31	8	2.3	12	1	0	0	CP2	2244.132886	38.66169	-120.13065	23033.6100845337	38523.0099671874	73666.9801073074	160683.830108643	1.04257453249157	13.4050135480033	0.613459965437426	0.580997989412265	5.35483870967742	12.01685393
KC2	ST10L28	30	KC2-12-2	KC2	KC2	85	5	207	12	KC2	0.28	1.67	9.8	2.4	10	1	0	0	KC2	947.928	36.82301	-118.83542	30660.2300491333	24248.250058433	148.96999835968	127471.812072754	8.58845527691711	20.9039565838449	-2.46929323827579	2.02357658003781	7.44827586206897	8.554166667
BH	ST10L30	16	BH-17-1	BH	BH	88	1	37	17	BH	0.25	0.86	2.6	1.1	15	1	0	0	BH	511.4294422	37.40985	-119.96458	27836.0099372864	17773.9100486152	0	130488.980545044	8.70943090610388	23.5232520348981	-2.93387448061084	1.72441414279779	6.7230255839822	NA
WL3	ST10L36	18	WL3-9-1	WL3	WL	97	16	679	9	WL3	0.36	1.1	8.4	1.4	14	1	0	0	WL	2137.762877	38.83528	-120.23824	17889.4400148392	37769.5100186635	59302.899992466	174783.149871826	1.90143630882791	13.8157452747105	0.441893276330429	-0.30435976067562	4.80645161290323	NA
WL2	ST10L7	168	WL2-10-1	WL2	WL	48	15	622	10	WL2	0.37	1.29	8.8	1.6	11	1	1	1	WL	2020.115818	38.8263	-120.25242	19734.910027504	38035.8299903143	51188.9498796463	92783.0391387939	2.45449864895646	14.5457994840979	0.353171641760823	0.548838534922346	4.96774193548387	21.7037037
YO1	ST10L9	23	YO1-5-1	YO1	YO	148	18	734	5	YO1	0.42	1.12	5.1	1.4	14	1	1	0	YO	2140.505943	37.66374	-119.62484	19158.0299959183	33131.0599101894	42339.3702177405	163895.233428955	2.22271002452508	14.8313278693171	-0.0396204206786582	0.085707802567274	5.12903225806452	14.09821429
WL1	ST11L22	79	WL1-9-4	WL1	WL	34	14	569	9	WL1	0.44	1	3.4	1.7	11	1	1	0	WL	1613.837245	38.78608	-120.2143	21017.2600078583	37866.349978935	21361.5900307298	139004.070068359	4.27542005953326	17.2160975545402	-0.576185990694496	0.272937691228204	6.24301075268817	NA
WL2	ST11L23	19	YO11-8-1	WL2	WL	54	15	795	8	YO11	0.45	1.91	3.3	1.8	18	1	1	0	YO	2020.115818	37.93844	-119.23157	20834.2600135803	24246.6000014134	65309.1998522561	100793.531387329	-2.84029810707562	10.5352032413166	1.03457473150151	1.37039537012269	5.64516129032258	13.35454545
KC2	ST11L30X1	25	KC2-9-1	KC2	KC2	127	5	208	9	KC2	0.29	1.72	16.7	1.7	14	1	0	0	KC2	947.928	36.82301	-118.83542	30660.2300491333	24248.250058433	148.96999835968	127471.812072754	8.58845527691711	20.9039565838449	-2.46929323827579	2.02357658003781	7.44827586206897	9.155688623
KC2	ST11L30X2	184	KC2-9-1	KC2	KC2	147	5	208	9	KC2	0.29	1.72	16.7	1.7	14	1	0	0	KC2	947.928	36.82301	-118.83542	30660.2300491333	24248.250058433	148.96999835968	127471.812072754	8.58845527691711	20.9039565838449	-2.46929323827579	2.02357658003781	7.44827586206897	9.155688623
YO10	ST11L34	67	YO10-6-1	YO10	YO	12	19	775	6	YO10	0.29	1.32	3	1.4	12	1	1	0	YO	2968.302347	37.92097	-119.25454	NA	NA	NA	NA	NA	NA	NA	NA	5.48387096774194	11.15853659
LVTR	ST11L35	150	LVTR1-1-3	LVTR	LV	96	9	335	1	LVTR	0.33	1.34	4.1	1.4	14	1	1	0	LV	2741.38982	40.47923	-121.50301	18961.0999975204	55907.7400554456	163310.009928703	89835.1786499023	-1.78162603206468	11.0686449877171	2.89464263386527	0.0802162711958168	4.70967741935484	12.84782609
TM2	ST11L37	175	TM2-6-2	TM2	TM2	103	13	503	6	TM2	0.18	0.7	4.3	4.1	10	1	1	0	TM2	379.1526973	39.59255	-121.55072	20193.0599738359	34909.4100120608	0	335555.805236817	9.60544718781784	22.7766124704666	-2.55604021249791	-1.54549876603178	7.7989247311828	28.70833333
SQ1	ST11L40	28	SQ1-4-1	SQ1	SQ	120	11	424	4	SQ1	0.3	1.06	2.8	1.5	14	1	0	0	SQ	1921.036585	36.56435	-118.7764	NA	NA	NA	NA	NA	NA	NA	NA	5.4860956618465	NA
BH	ST11L49	29	BH-3-1	BH	BH	81	1	46	3	BH	0.24	1.32	4.2	1.8	7	1	0	0	BH	511.4294422	37.40985	-119.96458	27836.0099372864	17773.9100486152	0	130488.980545044	8.70943090610388	23.5232520348981	-2.93387448061084	1.72441414279779	6.7230255839822	NA
CP2	ST11L6	180	CP2-7-3	CP2	CP2	87	2	86	7	CP2	0.3	1.63	6.8	2.2	17	1	1	0	CP2	2244.132886	38.66169	-120.13065	23033.6100845337	38523.0099671874	73666.9801073074	160683.830108643	1.04257453249157	13.4050135480033	0.613459965437426	0.580997989412265	5.35483870967742	12.31952663
SQ1	ST12L11	5	SQ1-3-1	SQ1	SQ	45	11	426	3	SQ1	0.27	0.89	2.7	2.4	12	1	0	0	SQ	1921.036585	36.56435	-118.7764	NA	NA	NA	NA	NA	NA	NA	NA	5.4860956618465	12.56395349
WL1	ST12L12	11	WL1-6-1	WL1	WL	71	14	574	6	WL1	0.33	1.2	5.1	1.5	13	1	1	0	WL	1613.837245	38.78608	-120.2143	21017.2600078583	37866.349978935	21361.5900307298	139004.070068359	4.27542005953326	17.2160975545402	-0.576185990694496	0.272937691228204	6.24301075268817	NA
YO11	ST12L22	192	YO11-9-4	YO11	YO	138	20	792	9	YO11	0.53	2	5.3	1.4	16	3	0	0	YO	2872.295032	37.93844	-119.23157	20834.2600135803	24246.6000014134	65309.1998522561	100793.531387329	-2.84029810707562	10.5352032413166	1.03457473150151	1.37039537012269	5.64516129032258	12.04761905
CP2	ST12L23	112	CP2-7-1	CP2	CP2	27	2	89	7	CP2	0.52	1.6	6.3	2.6	15	1	1	0	CP2	2244.132886	38.66169	-120.13065	23033.6100845337	38523.0099671874	73666.9801073074	160683.830108643	1.04257453249157	13.4050135480033	0.613459965437426	0.580997989412265	5.35483870967742	NA
LV1	ST12L24	108	LV1-13-1	LV1	LV	109	6	252	13	LV1	0.35	1.66	3.6	1.4	14	1	0	0	LV	2593.416641	40.47471	-121.50486	18171.5999898911	54076.7099559326	159001.600194931	108776.607727051	-1.60959350114289	11.1717072935134	2.74277304347449	-0.12843420297134	4.70967741935484	NA
LVTR	ST12L25	124	LVTR2-18-1	LVTR	LV	169	9	370	18	LVTR	0.4	1.37	3.4	1.1	11	1	0	0	LV	2741.38982	40.47923	-121.50301	18961.0999975204	55907.7400554456	163310.009928703	89835.1786499023	-1.78162603206468	11.0686449877171	2.89464263386527	0.0802162711958168	4.70967741935484	14.51515152
WV	ST12L30	10	WV-12-2	WV	WV	68	17	710	12	WV	0.4	1.2	4	1.3	13	1	0	0	WV	748.8570558	40.74084	-123.00364	16064.9600021243	31120.8901213538	9663.06996250153	214346.978912354	5.00951219461656	19.391869882258	-1.26543848423332	-0.890655392145958	6.9378733572282	13.9084507
SQ1	ST12L33	1	SQ1-2-1	SQ1	SQ	139	11	431	2	SQ1	0.26	1.1	4.2	2.3	12	1	0	0	SQ	1921.036585	36.56435	-118.7764	NA	NA	NA	NA	NA	NA	NA	NA	5.4860956618465	NA
LV3	ST12L36	179	LV3-12-1	LV3	LV	181	8	308	12	LV3	0.37	1.21	4.2	1.2	12	1	0	0	LV	2353.550747	40.4664	-121.52311	21003.1300163269	53634.7399466578	153277.359495163	147358.671234131	-1.58831978792723	11.1196747846235	2.50841922039611	0.0164403869946334	4.74193548387097	27.4
WL3	ST12L42	7	WL3-6-1	WL3	WL	31	16	683	6	WL3	0.31	0.87	4.2	1.6	10	1	1	0	WL	2137.762877	38.83528	-120.23824	17889.4400148392	37769.5100186635	59302.899992466	174783.149871826	1.90143630882791	13.8157452747105	0.441893276330429	-0.30435976067562	4.80645161290323	20.86813187
WL2	ST12L46	8	WL2-9-1	WL2	WL	159	15	627	9	WL2	0.38	1.23	4.1	1.7	16	1	1	0	WL	2020.115818	38.8263	-120.25242	19734.910027504	38035.8299903143	51188.9498796463	92783.0391387939	2.45449864895646	14.5457994840979	0.353171641760823	0.548838534922346	4.96774193548387	12.52475248
